UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2017,29,4417017,2242808,2174209,1674402,1587580,317688,326842,33029,29769,154783,164466,7451,6578,55455,58974,1722436,1639033,339492,351664,50977,48300,177377,187850,13363,12456,1767859,1749677,1256902,1217115,294888,303891,17932,17404,150045,159792,5336,4914,42756,46561,1293713,1257645,311173,323088,29991,30347,169339,179892,10027,9582,474949,424532,417500,370465,22800,22951,15097,12365,4738,4674,2115,1664,12699,12413,428723,381388,28319,28576,20986,17953,8038,7958,3336,2874
R,1,2017,30,4381140,2220233,2160907,1667494,1585789,306141,318901,32586,29245,153864,164023,7352,6569,52796,56380,1713453,1634713,326246,342507,50062,47734,175436,186225,12865,12095,1747216,1737473,1251302,1215895,283730,296036,17427,16865,149135,159534,5205,4862,40417,44281,1286325,1254157,298431,314229,29118,29729,167532,178537,9585,9292,473017,423434,416192,369894,22411,22865,15159,12380,4729,4489,2147,1707,12379,12099,427128,380556,27815,28278,20944,18005,7904,7688,3280,2803
R,1,2017,31,4436361,2245753,2190608,1694320,1613630,304481,318210,32480,29453,155622,167486,7388,6684,51462,55145,1738889,1661500,324014,340588,49895,47616,176426,189464,12887,12413,1763934,1761341,1270087,1238016,281827,295433,16797,16931,150942,162908,5207,5079,39074,42974,1303706,1275159,295980,312259,28372,29688,168615,181686,9532,9663,481819,429267,424233,375614,22654,22777,15683,12522,4680,4578,2181,1605,12388,12171,435183,386341,28034,28329,21523,17928,7811,7778,3355,2750
R,1,2017,32,4377558,2204985,2172573,1666349,1600542,293494,312717,31713,29100,156773,170165,7098,6410,49558,53639,1709298,1646951,311725,333976,48693,47147,177015,191882,12585,11976,1733322,1745888,1250409,1226847,271842,290335,16540,16551,152105,165772,4983,4746,37443,41637,1282637,1262762,284926,306106,27781,29105,169292,184298,9303,9196,471663,426685,415940,373695,21652,22382,15173,12549,4668,4393,2115,1664,12115,12002,426661,384189,26799,27870,20912,18042,7723,7584,3282,2780
R,1,2017,33,4298967,2160194,2138773,1636253,1576479,284234,306056,31182,28624,153741,168843,6978,6471,47806,52300,1677571,1621721,301788,326286,47723,46757,173383,189944,12187,12024,1698528,1716532,1228758,1206675,263242,283915,16106,16132,149293,164594,4984,4832,36145,40384,1259772,1241420,275746,298922,27163,28728,165907,182538,9081,9230,461666,422241,407495,369804,20992,22141,15076,12492,4448,4249,1994,1639,11661,11916,417799,380301,26042,27364,20560,18029,7476,7406,3106,2794
R,1,2017,34,4383644,2199352,2184292,1668637,1611988,288567,312454,31807,29229,155062,171351,7118,6670,48161,52600,1710304,1657376,306067,332972,48823,47713,174577,192334,12492,12187,1724253,1748535,1248853,1230171,267098,289497,16393,16442,150442,166796,5092,4934,36375,40695,1280080,1265057,279521,304692,27775,29370,166977,184682,9355,9358,475099,435757,419784,381817,21469,22957,15414,12787,4620,4555,2026,1736,11786,11905,430224,392319,26546,28280,21048,18343,7600,7652,3137,2829
R,1,2017,35,4286533,2143749,2142784,1631860,1584463,280570,307112,30034,28020,148017,166444,6966,6221,46302,50524,1671773,1628022,297301,326965,46771,45918,166600,186329,12037,11626,1688051,1716981,1229349,1210903,259986,285035,15371,15615,143554,161984,4953,4542,34838,38902,1259142,1244286,271853,299688,26579,28039,159212,178874,8938,8832,455698,425803,402511,373560,20584,22077,14663,12405,4463,4460,2013,1679,11464,11622,412631,383736,25448,27277,20192,17879,7388,7455,3099,2794
R,1,2017,36,4379440,2193683,2185757,1669957,1614173,292176,319388,31075,28955,146647,166044,7168,6303,46660,50894,1710116,1658025,309178,339351,47919,47195,165412,185944,12468,11721,1719530,1748202,1250662,1230014,271086,296651,15886,16217,141916,161528,5032,4649,34948,39143,1280486,1263494,283056,311301,27134,28982,157665,178443,9235,9016,474153,437555,419295,384159,21090,22737,15189,12738,4731,4516,2136,1654,11712,11751,429630,394531,26122,28050,20785,18213,7747,7501,3233,2705
R,1,2017,37,4263584,2138633,2124951,1628624,1568407,284674,311842,30028,27703,144369,162428,6548,6090,44390,48481,1666936,1610026,300640,330871,46504,45201,161849,181375,11541,11274,1680493,1701926,1223687,1196724,264040,289914,15272,15421,139959,158162,4565,4548,32970,37157,1251890,1228380,275139,303721,26203,27684,154579,174226,8509,8707,458140,423025,404937,371683,20634,21928,14756,12282,4410,4266,1983,1542,11420,11324,415046,381646,25501,27150,20301,17517,7270,7149,3032,2567
R,1,2017,38,4021634,2004873,2016761,1529749,1490396,264056,293640,27682,26281,136259,155700,5999,5570,41128,45174,1565049,1529178,278821,310988,43007,42917,152629,173445,10464,10297,1578065,1613431,1151517,1136137,245210,272877,14360,14498,132107,151460,4262,4066,30609,34393,1177489,1165434,255540,285381,24590,26033,145811,166492,7771,7863,426808,403330,378232,354259,18846,20763,13322,11783,4152,4240,1737,1504,10519,10781,387560,363744,23281,25607,18417,16884,6818,6953,2693,2434
